objectid,filename,title,format,location,date,creator,recipient,keywords,medium,rights
insal013,newspaper001,Students Urged to Work Within Party,image/jpg,"Bloomington, IN",5/17/1968,"Root, James P.",Public,"Students, Bloomington, Monroe County, Senator, Robert F. Kennedy, Kennedy, Democratic, campus, McCarthy, Stan Jones, campaign",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal014,letter007,June 6 Letter Miller,image/jpg,"Columbus, OH",6/6/1968,"Miller, Jane","Lied, Sally A.","Kennedy, dead, JFK, assassination, Robert F. Kennedy, McCarthy, death, Sally A. Lied","Paper, Envelope","The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal015,letter008,June 11 Letter,image/jpg,"Bloomington, IN",6/11/1968,"Lied, Sally A.",Tydings. Jospeh D.,"Senator, Congress, Kennedy, Bloomington, Indiana, students, Indiana University, gun legislation, Sally A. Lied",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal016,cover001,Speeches Robert Kennedy,image/jpg,"Indianapolis, IN",1967,"Kennedy, Robert F.; Riley, Michael; Unknown",Public,"Indiana, students, Kennedy, Robert F. Kennefy, RFK, Robert F. Kennedy for President Ballot Committee",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal017,artwork001,Kill For Peace,image/jpg,"Bloomington, IN",1968,Unknown,"Public; Lied, Sally, A.","Peace, Indiana University, students, assassination",Paper with Marker,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal018,artwork002,Who's Next?,image/jpg,"Bloomington, IN",1968,Unknown,"Public; Lied, Sally, A.","Kennedy, Robert F. Kennedy, MLK, Martin Luther King, John F. Kennedy, JFK, students, Indiana University, assassination, death",Paper with Marker,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal019,photo001,Bobby Kennedy 1,image/jpg,"Bloomington, IN",4/24/1968,"Lied, Sally A.",Public,"Politicians, Visitors, Robert F. Kennedy, RFK, Indiana University, Bloomington, campaign",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal020,photo002,Bobby Kennedy 2,image/jpg,"Bloomington, IN",4/24/1968,"Lied, Sally A.",Public,"Robert F. Kennedy, RFK, campaign, Indiana University, Poplars, Visitors, Politicians, Bloomington",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal021,photo003,Campaign Results Board,image/jpg,"Bloomington, IN",5/7/1968,"Lied, Sally A.",Public,"Indiana, Bloomington, Sally A. Lied, Kennedy, RFK, Robert F. Kennedy, campaign, election, 1968, Monroe County",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal022,photo004,Bobby Kennedy 3,image/jpg,"Bloomington, IN",4/24/1968,"Lied, Sally A.",Public,"Indiana, Bloomington, RFK, Robert F. Kennedy, campaign, Indiana University, Poplars",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal023,speech003,June 21 Press Conference,image/jpg,IN,6/21/1968,"Lovell, John P.; Hickman, Leo E.; Fatemi, Fariboz S.; Jones, Stan; Wallace, Larry; Lied, Sally A.",Public,"Indiana, Monroe County, Kennedy, Democratic, McCarthy, Humphrey, Vietnam, Indiana University, Washington D.C., Robert F. Kennedy, RFK, Stan Jones, Sally A. Lied",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
insal024,letter009,April 11 Shepard Letter,image/jpg,"Bloomington, IN",4/11/1968,"Lied, Sally A.","Shepard, Martin","Kennedy, Bloomington, Students of Kennedy, students, Senator, Indiana University, Indianapolis, RFK, button, McCarthy, Humphrey, civil rights, Vietnam, Sally A. Lied, campus, Pat Loftus",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations."
