objectid,filename,title,item_information,format,location,date,creator,recipient,keywords,medium,rights,type
insal012,letter006.jpg,April 24 Letter MJK,single-page; documents,image/jpg,"Washington, DC",4/24/1968,"Kopechne, Mary Jo","Lied, Sally A.","Sally A. Lied, Mary Jo Kopechne, Foster, Bloomington, Indiana, Washington D.C., Pennsylvania, students",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal013,newspaper001.jpg,Students Urged to Work Within Party,single-page; documents,image/jpg,"Bloomington, IN",5/17/1968,"Root, James P.",Public,"Students, Bloomington, Monroe County, Senator, Robert F. Kennedy, Kennedy, Democratic, campus, McCarthy, Stan Jones, campaign",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal014,letter007.pdf,June 6 Letter Miller,multiple-page; documents,application/pdf,"Columbus, OH",6/6/1968,"Miller, Jane","Lied, Sally A.","Kennedy, dead, JFK, assassination, Robert F. Kennedy, McCarthy, death, Sally A. Lied","Paper, Envelope","The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal015,letter008.jpg,June 11 Letter,single-page; documents,image/jpg,"Bloomington, IN",6/11/1968,"Lied, Sally A.",Tydings. Jospeh D.,"Senator, Congress, Kennedy, Bloomington, Indiana, students, Indiana University, gun legislation, Sally A. Lied",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal016,cover001.pdf,Speeches Robert Kennedy,multiple-page; documents,application/pdf,"Indianapolis, IN",1967,"Kennedy, Robert F.; Riley, Michael; Unknown",Public,"Indiana, students, Kennedy, Robert F. Kennefy, RFK, Robert F. Kennedy for President Ballot Committee",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal017,artwork001.jpg,Kill For Peace,single-page; documents,image/jpg,"Bloomington, IN",1968,Unknown,"Public; Lied, Sally, A.","Peace, Indiana University, students, assassination",Paper with Marker,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal018,artwork002.jpg,Who's Next?,single-page; documents,image/jpg,"Bloomington, IN",1968,Unknown,"Public; Lied, Sally, A.","Kennedy, Robert F. Kennedy, MLK, Martin Luther King, John F. Kennedy, JFK, students, Indiana University, assassination, death",Paper with Marker,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal019,photo001.jpg,Bobby Kennedy 1,single-page; photographs,image/jpg,"Bloomington, IN",4/24/1968,"Lied, Sally A.",Public,"Politicians, Visitors, Robert F. Kennedy, RFK, Indiana University, Bloomington, campaign",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal020,photo002.jpg,Bobby Kennedy 2,single-page; photographs,image/jpg,"Bloomington, IN",4/24/1968,"Lied, Sally A.",Public,"Robert F. Kennedy, RFK, campaign, Indiana University, Poplars, Visitors, Politicians, Bloomington",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal021,photo003.jpg,Campaign Results Board,single-page; photographs,image/jpg,"Bloomington, IN",5/7/1968,"Lied, Sally A.",Public,"Indiana, Bloomington, Sally A. Lied, Kennedy, RFK, Robert F. Kennedy, campaign, election, 1968, Monroe County",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal022,photo004.jpg,Bobby Kennedy 3,single-page; photographs,image/jpg,"Bloomington, IN",4/24/1968,"Lied, Sally A.",Public,"Indiana, Bloomington, RFK, Robert F. Kennedy, campaign, Indiana University, Poplars",Photograph,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Image;StillImage
insal023,speech003.pdf,June 21 Press Conference,multiple-page; documents,application/pdf,IN,6/21/1968,"Lovell, John P.; Hickman, Leo E.; Fatemi, Fariboz S.; Jones, Stan; Wallace, Larry; Lied, Sally A.",Public,"Indiana, Monroe County, Kennedy, Democratic, McCarthy, Humphrey, Vietnam, Indiana University, Washington D.C., Robert F. Kennedy, RFK, Stan Jones, Sally A. Lied",Paper,"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
insal024,letter009.pdf,April 11 Shepard Letter,multiple-page; documents,application/pdf,"Bloomington, IN",4/11/1968,"Lied, Sally A.","Shepard, Martin","Kennedy, Bloomington, Students of Kennedy, students, Senator, Indiana University, Indianapolis, RFK, button, McCarthy, Humphrey, civil rights, Vietnam, Sally A. Lied, campus, Pat Loftus",Paper (onionskin),"The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records, materials in the public domain, or materials for which we do not hold a Deed of Gift. Responsibility for the determination of the copyright status of these materials rests with those persons wishing to reuse the materials. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these materials that extends beyond fair use or other statutory limitations.",Text
